id	offset	bytes	ref_type	japanese	english
247	0xF7B00	34	ptr	戦士の家系なら巻物は大事にしろよ。	If you are of warrior lineage, then cherish the scrolls!
248	0xF7B24	88	ptr	攻撃に使える巻物は魔法と同じでフレア、アイス、エレキの３つだが、それぞれレベルがあるぞ。	The offensive scrolls come in flare, ice and shock varieties, just like magic, but with different levels.
249	0xF7B80	64	ptr	粉や薬にはそれぞれ相反するものがある。例えば体力回復薬と劇薬だ。	Powders and pills have opposites. For every great medicine there's an equally great poison.
250	0xF7BC4	36	ptr	魔法回復薬に相反するのは混乱の薬だ。	The opposite of a pill of restoring magic is a pill of confusion.
251	0xF7BEC	38	ptr	毒薬に相反するのは読んだ通り解毒薬だ。	The opposite of a pill of poison is, as expected, a pill of antidote.
252	0xF7C14	34	ptr	防御ＵＰ粉に相反するのは酸の粉だ。	The opposite of def. up powder is an acid powder.
253	0xF7C38	34	ptr	攻撃ＵＰ粉に相反するのは錆の粉だ。	The opposite of an atk. up powder is a rust powder.
254	0xF7C5C	74	ptr	俺さぁ、ボンっていうんだけどさぁ、ステータス関係なら割と詳しいんだよねぇ。	Me? Okay, let's say the name is Bom. Well, you're not gonna want to miss what I can tell you about status and such...
255	0xF7CA8	68	ptr	モンスターから毒攻撃を受けるとさぁ、腕に力が入らなくなるんだよねぇ。	Let's say you get poisoned by a monster. Well, you're not gonna be able to hit as hard anymore...
256	0xF7CF0	84	ptr	いくらレベルが上がってもさぁ、防御力は変わらないんだよねぇ。まぁ鎧次第って事かなぁ。	Let's say you level up more and more. Well, you're not gonna raise defense that way. That's because defense only comes from armor, not level.
257	0xF7D48	82	ptr	毒を受けたまま登ると結構危ないからさぁ、解毒薬を飲むか街に戻るかした方がいいよぉ。	Let's say you are poisoned, and you keep climbing the tower. Well, you're not gonna last long, you wanna get back to town to drink an antidote, I tell ya.
258	0xF7D9C	60	ptr	人間の能力ってさぁ、腕力と知力と素早さの３つがあるんだよねぇ	Let's say there are three statistics. Well, don't forget their names: strength, intelligence and speed.
259	0xF7DDC	74	ptr	どんなに体がおっきくてもさぁ、腕力が低けりゃぁただの木偶の坊なんだよねぇ。	Let's say you got that big, bulky body. Well, you're not gonna do much damage if you ain't got the strength to go with it.
260	0xF7E28	84	ptr	素早さの高い人ってさぁ、時間をあまり使わないんだよねぇ。当然だけどさぁ、大事だよぉ。	Let's say you are of the speedy kind. Well, you're not gonna waste as much time as others. Yeah, well it may be obvious, but it is still true.
261	0xF7E80	76	none	知力が高いとさぁ、魔法の効きがいいんだよねぇ。まぁ、俺には関係無いけどねぇ。	Let's say you're smart. Well, you're gonna get more out of magic. Not me.
262	0xF7ED0	52	ptr	攻撃力ってさぁ、腕力と武器の威力で決まるんだよねぇ。	Let's say you want to deal real damage. Well, you're gonna need both strength and the weapon to go with it.
263	0xF7F08	78	ptr	レベルアップだけに頼ってるとさぁ、多分きついよぉ。やっぱり薬を使わないとねぇ。	Let's say you only care about leveling up. That's still gonna be tough. You're gonna need potions.
264	0xF7F58	54	ptr	家系によってさぁ、能力の上がり方に差があるんだよねぇ。	Let's say that depending on your lineage, you're gonna want to raise your stats differently.
265	0xF7F90	46	ptr	実はさぁ、俺家系にもちょっと詳しいんだよねぇ。	Well, it happens that I'm a bit versed in the various trades, if you wanna hear.
266	0xF7FC0	86	ptr	腕力が一番上がるのは当然戦士だよねぇ。後は騎士、レンジャー、魔法使いの順なんだよねぇ。	Let's say strength matters the most to fighters, then knights, rangers and magic users, in that order.
267	0xF8018	86	ptr	体力が一番上がるのは当然戦士だよねぇ。後は騎士、レンジャー、魔法使いの順なんだよねぇ。	Let's say hit points matter the most to fighters, then knights, rangers and magic users, in that order.
268	0xF8070	86	ptr	知力が一番上がるのは当然魔法使いだよねぇ。後はレンジャー、騎士、戦士の順なんだよねぇ。	Let's say intelligence matters the most to magic users, then rangers, knights and fighters, in that order.
269	0xF80C8	88	ptr	魔法力が一番上がるのは当然魔法使いだよねぇ。後はレンジャー、騎士、戦士の順なんだよねぇ。	Let's say magic points matter the most to magic users, then rangers, knights and fighters, in that order.
270	0xF8124	50	ptr	素早さっていえばさぁ、やっぱりレンジャーだよねぇ。	Let's say that when it comes to speed, you wanna be a ranger.
271	0xF8158	86	ptr	こんなしゃべり方してるんだけどさぁ、俺あんたの事尊敬してるんだよねぇ。ホントっすよぉ。	Let's say that even if I talk like this, you gotta believe I'm your friend. I swear, really.
272	0xF81B0	34	ptr	私ゼクシィっていうの。よろしくね。	I am Zexy. Nice to meet you.
273	0xF81D4	42	ptr	戦いは力だけじゃダメ。頭を使わなくちゃね。	Strength isn't all. You have to use your head sometimes in a fight, too.
274	0xF8200	78	ptr	この塔の中、モンスターさえいなければいいデートスポットになるのにね。残念だわ！	Ah, if only there weren't those monsters, this tower would make such a fancy spot for dates! What a shame!
275	0xF8250	36	ptr	塔に挑む男達ってろくでなしばっかり！	All those men going into the tower are just good-for-nothings!
276	0xF8278	48	ptr	もう皆して塔塔って！　塔に何があるって言うのよ！	All they can talk about is the tower, the tower! Why do they care so much about that tower?!
277	0xF82AC	68	ptr	頭にくるわよね！　あの男ったら私より回復薬の方が大事だっていうのよ！	It blows, right?! They care more about my medicines than about me, or what?!
278	0xF82F4	84	ptr	この前のお客ったら５０階のモンスター倒したってのに勇者の証取らなかったっていうのよ！	I got a customer who went to the 50th floor and killed the monster, and told me he still didn't get the Emblem of the Hero!
279	0xF834C	70	ptr	酒場であった酔っぱらいが塔からいきなり放り出されたって悔しがってたわ！	There was this drunkard at the bar that was whining about being suddenly thrown out of the tower!
280	0xF8394	72	ptr	塔に地下があるって噂、聞いた事ある？　信じちゃだめよ。１００％嘘だから。	There is a rumor that the tower has a basement, but don't you believe that! That's pure lies!
281	0xF83E0	72	ptr	世界中を旅してるって男に聞いたの。塔があるのはここだけじゃないらしいの！	A man traveling the world told me that this tower isn't the only one!
282	0xF842C	48	ptr	私、今日はすっごく機嫌悪いの！なんか文句あるの！	I am so pissed today! What's your problem?!
283	0xF8460	82	ptr	私は神様なんて信じない！　だってさわれもしないし、私には男がそばに居る方がいいわ！	I don't believe in no god! What's his deal if you can't come in contact with him? I'd rather have my man by my side!
284	0xF84B4	48	ptr	「勇者の証」って手に入れるとどうなるのかしらね？	I wonder what happens when you get your hands on the Emblem of the Hero.
285	0xF84E8	54	ptr	この塔ってどのくらいの高さなのかしら？　考えた事無い？	Blast this tower, how high does it even go? What? You never asked that yourself?
286	0xF8520	64	ptr	私、鏡の粉が欲しいの。そしたらこのピアス、メッキできるのになぁ。	I'd love to get mirror powder. Oh, how I would put it on those earrings!
287	0xF8564	56	ptr	アイスシールドってきれいなんだってね。一度見てみたいわ。	They say the ice shield is super pretty. Woah, I hope I can see one someday.
288	0xF85A0	72	ptr	私ってかなりかわいいわよね。なのに男達は皆、私をおいて塔にいっちゃうの。	Yeah, I'm cute, I know. Why are all the men leaving me alone to go in that tower then?
289	0xF85EC	82	ptr	私の名はマハーノレ。そなたが戦士の家系なら私と話してもあまり意味はないかもしれん。	My name is Mahanole. If war is your trade, you probably won't have much to gain from addressing me.
290	0xF8640	68	ptr	魔法使いの家系の者は体力と腕力が低い。薬を活用せねば苦労するだろう。	Those of magician lineage are weak in body. They must know how to use potions, for their own good.
291	0xF8688	76	ptr	ヒールとは相手の体力をほんの少し奪い、それを増幅して自分の体力にする魔法だ。	The heal magic steals a tiny bit of the target's health to restore your own.
292	0xF86D8	84	ptr	魔法は神に最も近い力。魔法力を無駄使いするものは神の力を無駄使いしているという事だ。	Magic is the force closest to God. Wasting magic is wasting the power of God.
293	0xF8730	84	ptr	モンスターには属性を持つ者もいる。その属性の魔法で攻撃してもダメージは与えられない。	Monsters do have elemental traits. Attacking them with magic sharing their element won't damage them.
294	0xF8788	28	ptr	敵の属性を見切る事が大切だ。	It is very important to learn the elemental traits of your enemies.
295	0xF87A8	84	ptr	モンスターによっては魔法を使う隙がないかもしれん。その時は己の腕力だけが頼りになる。	Some monsters will probably not let you have the luxury of casting magic. At such times, you can only trust int the strength of your arms.
296	0xF8800	60	ptr	魔法使いの家系の者として、魔法回復薬は常に持ち歩くべきだろう	As a descendant of magician lineage, you should always carry magic restoring potions with you.
297	0xF8840	38	ptr	魔法使いだからとて体は鍛えねばならん。	Even though you are a magician, you need to train your body.
298	0xF8868	46	ptr	攻撃魔法はフレア、アイス、エレキの順に覚える。	You will learn the magic of flare, ice and shock, in that order.
299	0xF8898	84	ptr	回復魔法はヒールとハイヒールの２つだ。だがハイヒールはそう簡単には覚える事は出来ん。	There are two rejuvenating magics: heal and high heal. But learning high heal is no easy feat.
300	0xF88F0	84	ptr	剣の魔法を知っているか？　敵の弱点属性の魔法剣ならば２倍のダメージを与えられるのだ。	Do you know of the magic of the sword? A sword enchanted with the element the monster is weak to will inflict twice the damage.
301	0xF8948	44	ptr	魔法剣は知力によって使える時間が異なるのだ。	Intelligence affects magic weapons; the higher it is, the longer they last.
302	0xF8978	54	ptr	知力の低い魔法使いは腕力のない戦士と同じ、役立たずだ。	A magician with dim wits is as useless as a weak warrior.
303	0xF89B0	58	ptr	人型のモンスターは魔法を使うものが多い。気を付けるがよい。	Many humanoid monsters make use of magic. Be wary.
304	0xF89EC	86	ptr	魔法を３種類とも使うモンスターがいるそうだ。ジギーもそいつだけには会いたくないらしい。	There appears to be a monster who can use all three magic elements. I think Ziggy doesn't ever want to cross its path again.
305	0xF8E84	10	ptr	上突き　　	HighThrust
306	0xF8E90	10	ptr	かぶと割り	Headsplit
307	0xF8E9C	10	ptr	中突き　　	MidThrust
308	0xF8EA8	10	ptr	回転斬り　	Whirlwind
309	0xF8EB4	10	ptr	下突き　　	LowThrust
310	0xF8EC0	10	ptr	払い斬り　	SwordSweep
311	0xF8ECC	10	ptr	Ｄアタック	DrgnSlayer
312	0xF8ED8	10	ptr	接近突き　	Lunge
313	0xF8EE4	10	ptr	３段払い	SweepCombo
314	0xF8EF0	10	ptr	ジャンプ　	Jump
315	0xF8EFC	10	ptr	垂直斬り　	Vert slash
316	0xF8F08	10	ptr	Ｘ斬り　　	Crossslash
317	0xF8F14	10	ptr	乱れ突き　	Wildthrust
318	0xF8F20	10	ptr	前転斬り　	Somersault
319	0xF8F2C	10	ptr	対空払い　	Anti-air
320	0xF8F38	10	ptr	側転斬り　	Hurricane
321	0xF8F44	10	ptr	Ｄフライ　	Dragonfly
322	0xF8F50	10	ptr	垂直割り　	Vert split
323	0xF8F5C	10	ptr	ヒール　　	Heal
324	0xF8F68	10	ptr	フレア　　	Flare
325	0xF8F74	10	ptr	アイス　　	Ice
326	0xF8F80	10	ptr	エレキ　　	Shock
327	0xF8F8C	10	ptr	Ｅソード　	Shocksword
328	0xF8F98	10	ptr	Ｉソード　	Icesword
329	0xF8FA4	10	ptr	Ｆソード　	Flaresword
330	0xF8FB0	10	ptr	ハイヒール	High heal
331	0xF8FCC	14	ptr	フレアＬ１	Flare L1
332	0xF8FDC	14	ptr	フレアＬ２	Flare L2
333	0xF8FEC	14	ptr	フレアＬ３	Flare L3
334	0xF8FFC	14	ptr	フレアＬ４	Flare L4
335	0xF900C	14	ptr	フレアＬ５	Flare L5
336	0xF901C	14	ptr	フレアＬ６	Flare L6
337	0xF902C	14	ptr	フレアＬ７	Flare L7
338	0xF903C	14	ptr	フレアＬ８	Flare L8
339	0xF904C	14	ptr	エレキＬ１	Shock L1
340	0xF905C	14	ptr	エレキＬ２	Shock L2
341	0xF906C	14	ptr	エレキＬ３	Shock L3
342	0xF907C	14	ptr	エレキＬ４	Shock L4
343	0xF908C	14	ptr	エレキＬ５	Shock L5
344	0xF909C	14	ptr	エレキＬ６	Shock L6
345	0xF90AC	14	ptr	エレキＬ７	Shock L7
346	0xF90BC	14	ptr	エレキＬ８	Shock L8
347	0xF90CC	14	ptr	アイスＬ１	Ice L1
348	0xF90DC	14	ptr	アイスＬ２	Ice L2
349	0xF90EC	14	ptr	アイスＬ３	Ice L3
350	0xF90FC	14	ptr	アイスＬ４	Ice L4
351	0xF910C	14	ptr	アイスＬ５	Ice L5
352	0xF911C	14	ptr	アイスＬ６	Ice L6
353	0xF912C	14	ptr	アイスＬ７	Ice L7
354	0xF913C	14	ptr	アイスＬ８	Ice L8
355	0xF914C	14	ptr	ナチラプー　　	Nazirapoo
356	0xF918C	14	ptr	混乱の薬　　　	Confuse Pill
357	0xF91BC	14	ptr	力の薬　　　　	Str Pill
358	0xF91CC	14	ptr	素早さの薬　　	Speed Pill
359	0xF91DC	14	ptr	知恵の薬　　　	Int Pill
360	0xF920C	14	ptr	錆の粉　　　　	Rust powder
361	0xF921C	14	ptr	酸の粉　　　　	Acid powder
362	0xF922C	14	ptr	鏡の粉　　　　	Mirror powder
363	0xF923C	14	ptr	ブロンズソード	Bronze sword
364	0xF924C	14	ptr	アイアンソード	Iron sword
365	0xF925C	14	ptr	レイピア　　　	Rapier
366	0xF926C	14	ptr	ガルブレイズ　	Galblaze
367	0xF927C	14	ptr	ドラゴンソード	Dragon sword
368	0xF928C	14	ptr	レザーアーマー	Leather armor
369	0xF929C	14	ptr	ハーフプレート	Half plate
370	0xF92AC	14	ptr	フルプレート　	Full plate
371	0xF92BC	14	ptr	メタルプレート	Metal plate
372	0xF92CC	14	ptr	バトルプレート	Battle plate
373	0xF92DC	14	ptr	レザーシールド	Leather shield
374	0xF92EC	14	ptr	アイスシールド	Ice shield
375	0xF92FC	14	ptr	エレキシールド	Shock shield
376	0xF930C	14	ptr	フレアシールド	Flare shield
377	0xF931C	14	ptr	オールシールド	All shield
378	0xF932C	14	ptr	勇者の証　　　	Hero Emblem
379	0xF933C	14	ptr	奥義の巻物　　	Tech Scroll
380	0xF935C	14	ptr	紫の巻物　　　	Violet scroll
381	0xF936C	14	ptr	白の巻物　　　	White scroll
382	0xF937C	14	ptr	黒の巻物　　　	Black scroll
383	0xF938C	14	ptr	葵の巻物　　　	Green scroll
384	0xF939C	14	ptr	奥義の巻物　　	Tech Scroll
385	0xF93AC	14	ptr	赤の剣　　　　	Red sword
386	0xF93BC	14	ptr	黄の剣　　　　	Golden sword
387	0xF93CC	14	ptr	紫の剣　　　　	Violet sword
388	0xF93DC	14	ptr	白の剣　　　　	White sword
389	0xF93EC	14	ptr	黒の剣　　　　	Black sword
390	0xF93FC	14	ptr	赤の鎧　　　　	Red armor
391	0xF940C	14	ptr	黄の鎧　　　　	Golden armor
392	0xF941C	14	ptr	紫の鎧　　　　	Violet armor
393	0xF942C	14	ptr	白の鎧　　　　	White armor
394	0xF943C	14	ptr	黒の鎧　　　　	Black armor
395	0xF944C	14	ptr	赤の盾　　　　	Red shield
396	0xF945C	14	ptr	黄の盾　　　　	Golden shield
397	0xF946C	14	ptr	紫の盾　　　　	Violet shield
398	0xF947C	14	ptr	白の盾　　　　	White shield
399	0xF948C	14	ptr	黒の盾　　　　	Black shield
400	0xF949C	14	ptr	青の盾　　　　	Blue shield
401	0xF94AC	14	ptr	赤の薬　　　　	Red pill
402	0xF94BC	14	ptr	黄の薬　　　　	Yellow pill
403	0xF94CC	14	ptr	緑の薬　　　　	Green pill
404	0xF94DC	14	ptr	青の薬　　　　	Blue pill
405	0xF94EC	14	ptr	黒の薬　　　　	Black pill
406	0xF94FC	14	ptr	白の薬　　　　	White pill
407	0xF950C	14	ptr	紫の薬　　　　	Violet pill
408	0xF951C	14	ptr	茶の薬　　　　	Brown pill
409	0xF952C	14	ptr	灰の薬　　　　	Grey pill
410	0xF953C	14	ptr	赤の粉　　　　	Red powder
411	0xF954C	14	ptr	紫の粉　　　　	Violet powder
412	0xF955C	14	ptr	白の粉　　　　	White powder
413	0xF956C	14	ptr	黒の粉　　　　	Black powder
414	0xF957C	14	ptr	葵の粉　　　　	Blue powder
415	0xF9804	6	code	赤の薬	Red pill
416	0xF980C	6	code	黒の薬	Black pill
417	0xF9860	4	code	あと	Next
418	0xFED3C	10	ptr	あいうえお	ABCDE
419	0xFED48	10	ptr	かきくけこ	FGHIJ
420	0xFED54	10	ptr	さしすせそ	KLMNO
421	0xFED60	10	ptr	たちつてと	PQRST
422	0xFED6C	10	ptr	なにぬねの	UVWXY
423	0xFED78	10	ptr	はひふへほ	Z
424	0xFED84	10	ptr	まみむめも
425	0xFED90	10	ptr	やゆよわを
426	0xFED9C	10	ptr	らりるれろ
427	0xFEDA8	10	ptr	ん・　　　
428	0xFEDB4	10	ptr	がぎぐげご
429	0xFEDC0	10	ptr	ざじずぜぞ
430	0xFEDCC	10	ptr	だぢづでど
431	0xFEDD8	10	ptr	ばびぶべぼ
432	0xFEDE4	10	ptr	ぱぴぷぺぽ
433	0xFEDF0	10	ptr	ぁぃぅぇぉ
434	0xFEDFC	10	ptr	ゃゅょっー
435	0xFEE4C	10	ptr	アイウエオ	abcde
436	0xFEE58	10	ptr	カキクケコ	fghij
437	0xFEE64	11	ptr	サシスセソ 	klmno
438	0xFEE70	10	ptr	タチツテト	pqrst
439	0xFEE7C	10	ptr	ナニヌネノ	uvwxy
440	0xFEE88	10	ptr	ハヒフヘホ	z
441	0xFEE94	10	ptr	マミムメモ
442	0xFEEA0	10	ptr	ヤユヨワヲ
443	0xFEEAC	10	ptr	ラリルレロ
444	0xFEEB8	10	ptr	ン・ヴ　　
445	0xFEEC4	10	ptr	ガギグゲゴ
446	0xFEED0	10	ptr	ザジズゼゾ
447	0xFEEDC	10	ptr	ダヂヅデド
448	0xFEEE8	10	ptr	バビブベボ
449	0xFEEF4	10	ptr	パピプペポ
450	0xFEF00	10	ptr	ァィゥェォ
451	0xFEF0C	10	ptr	ャュョッー
452	0xFEF98	16	code	　宜しいですか？	Are you sure?
453	0xFEFBC	16	code	あなたの名前は？	What is your name?
454	0xFEFD0	18	code	あなたの誕生日は？	What is your birthday?
455	0xFEFF8	16	code	あなたの性別は？	What is your sex?
456	0xFF00C	16	code	あなたの家系は？	What is your class?
457	0xFF020	28	code	ボーナスポイントを割り振って	Please distribute your
458	0xFF040	8	code	下さい。	bonus points.
459	0xFF06C	6	code	素早さ	Speed
460	0xFF0B8	26	code	総ての入力が終了しました。	All data entry completed.
461	0xFF0D4	20	code	入力は正しいですか？	Is this okay?
